23.01.2026                                                                                 Salida dinámica de lista                                                                                         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Ce. |Alm.|CMv|Razión|Registrado|Hora    |Doc.mat.  |Usuario   |Fecha doc.|Material|Texto breve de material                 |Lote  |Cantidad|   Impte.ML|Txt.cab.doc.  |Pedido|Proveedor|Txt clase-mov.    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 4100|4166|311|  3113|04.02.2025|16:58:12|7811710703|FMTD_MOD10|01.02.2025|50483559|KAIAK AMOS SONAR EDT MASC 3X1ML LTM TERC|ZAL006|    280 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4166|311|  3113|04.02.2025|16:58:07|7811710702|FMTD_MOD10|01.02.2025|50483559|KAIAK AMOS SONAR EDT MASC 3X1ML LTM TERC|ZAL006|    280 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:57:52|7811710701|FMTD_MOD10|01.02.2025|50421569|EKOS SAB BAR MULTI ESFOLIA 4X100G       |Z6S007|      5 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:57:37|7811710700|FMTD_MOD10|01.02.2025|50377974|TODODIA SAB LIQUID FRAMBOESA 300ML      |Z90009|     28 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:57:22|7811710675|FMTD_MOD10|01.02.2025|50418041|EKOS HIDRA MAOS CASTANHA 75G LTM        |YC0009|     50 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:57:07|7811704171|FMTD_MOD10|01.02.2025|50326102|EKOS HID NECTAR MAOS MARACUJA 75G LTM   |ZA0010|     81 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:56:51|7811704150|FMTD_MOD10|01.02.2025|50451421|EKOS HID BRUMA ACAI 100ML               |Z80004|     20 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:56:36|7811704145|FMTD_MOD10|01.02.2025|50497741|TODODIA SAB LIQ MANGA 300ML             |ZC0009|     15 |         0 |              |      |         |TR Traslado en ce.|
| 4100|4182|311|  3113|04.02.2025|16:56:17|7811704142|FMTD_MOD10|01.02.2025|50315470|CAIXA ESPECIAL PRESENTE                 |ZCH025|     80 |         0 |              |      |         |TR Traslado en ce.|
